DESA,KECAMATAN,PRED_IKS_2045,PRED_IKE_2045,PRED_IKL_2045,PRED_IDM_2045,PRED_STATUS_2045
KLUWUT,WONOSARI,0.8723999999999714,0.8055666666666296,0.5999999999999983,0.7593222222221998,MAJU
PLANDI,WONOSARI,0.8552000000000083,0.6832999999999984,0.6444666666668054,0.727655555555604,MAJU
PLAOSAN,WONOSARI,0.7923999999996861,0.6444666666664911,0.6666999999999972,0.7011888888887249,BERKEMBANG
KEBOBANG,WONOSARI,0.836199999999949,0.9221999999997481,0.6666999999999972,0.8083666666665646,MAJU
SUMBERTEMPUR,WONOSARI,0.8342666666664843,0.711099999999928,0.6444666666668054,0.7299444444444059,MAJU
SUMBERDEM,WONOSARI,0.8514000000000317,0.7722333333331901,0.7111333333330496,0.7782555555554239,MAJU
WONOSARI,WONOSARI,0.8266666666667843,0.8666666666668736,0.7333666666662425,0.8088999999999668,MAJU
BANGELAN,WONOSARI,0.8228999999999971,0.6832999999999984,0.7111333333330496,0.7391111111110149,MAJU
SUMBERPUTIH,WAJAK,0.7599999999999973,0.7832999999999991,0.6666999999999972,0.7366666666666646,MAJU
WONOAYU,WAJAK,0.761899999999987,0.6332999999999991,0.8666999999999966,0.753966666666661,MAJU
BAMBANG,WAJAK,0.7352333333332723,0.733299999999997,0.6666999999999972,0.7117444444444221,MAJU
BRINGIN,WAJAK,0.868599999999998,0.8388666666666257,0.6666999999999972,0.7913888888888737,MAJU
DADAPAN,WAJAK,0.7828333333332943,0.6832999999999984,0.6666999999999972,0.7109444444444298,MAJU
PATOKPICIS,WAJAK,0.809533333333234,0.7388999999998571,0.6666999999999972,0.738377777777696,MAJU
BLAYU,WAJAK,0.8647666666664698,0.7722333333335046,0.6666999999999972,0.7678999999999906,MAJU
CODO,WAJAK,0.8571333333332591,0.8388999999998578,0.6666999999999972,0.7875777777777048,MAJU
SUKOLILO,WAJAK,0.9466666666667083,0.8444666666664917,0.6666666666662422,0.8192666666664806,MANDIRI
KIDANGBANG,WAJAK,0.8228333333332567,0.7666666666665566,0.6666999999999972,0.7520666666666035,MAJU
SUKOANYAR,WAJAK,0.8228666666665211,0.8777999999999252,0.6666999999999972,0.7891222222221478,MAJU
WAJAK,WAJAK,0.9371666666667355,0.9110999999999275,0.6666999999999972,0.83832222222222,MANDIRI
NGEMBAL,WAJAK,0.7695333333331978,0.7555666666667322,0.6666999999999972,0.7305999999999756,MAJU
SUMBERSUKO,WAGIR,0.7962333333332448,0.6166999999999985,0.6666999999999972,0.6932111111110801,BERKEMBANG
MENDALANWANGI,WAGIR,0.8990333333332085,0.9111333333333661,0.5999999999999983,0.8033888888888576,MAJU
SITIREJO,WAGIR,0.8494999999997913,0.7944666666664909,0.7111000000001376,0.7850222222221399,MAJU
PARANGARGO,WAGIR,0.853299999999984,0.8666999999999966,0.6666999999999972,0.7955666666666593,MAJU
GONDOWANGI,WAGIR,0.868599999999998,0.5999999999999983,0.7999999999999992,0.7561999999999985,MAJU
PANDANREJO,WAGIR,0.8762333333332466,0.8166999999999972,0.733299999999997,0.8087444444444136,MAJU
PETUNGSEWU,WAGIR,0.8228999999999971,0.5666999999999991,0.8666999999999966,0.7520999999999977,MAJU
SUKODADI,WAGIR,0.8685999999999616,0.6999999999999977,0.7999999999999992,0.7895333333333195,MAJU
SIDORAHAYU,WAGIR,0.8476333333331736,0.6944333333332594,0.7111333333330496,0.7510666666664942,MAJU
JEDONG,WAGIR,0.8114333333332238,0.5832999999999987,0.6666999999999972,0.6871444444444066,BERKEMBANG
DALISODO,WAGIR,0.7923666666664949,0.6888999999998578,0.6444666666668054,0.7085777777777195,BERKEMBANG
PANDANLANDUNG,WAGIR,0.8990333333333155,0.7444333333332614,0.8222333333331892,0.821899999999922,MANDIRI
TAWANGREJENI,TUREN,0.8190333333332837,0.6444666666664911,0.6666999999999972,0.7100666666665907,MAJU
KEMULAN,TUREN,0.7866333333332706,0.5444333333330497,0.6666999999999972,0.6659222222221058,BERKEMBANG
SAWAHAN,TUREN,0.8590666666666876,0.6388999999998577,0.5999999999999983,0.6993222222221812,BERKEMBANG
UNDAAN,TUREN,0.7904666666664718,0.6166333333331206,0.6666999999999972,0.69126666666653,BERKEMBANG
GEDOK KULON,TUREN,0.8228333333332567,0.6277999999999287,0.6666999999999972,0.7057777777777275,BERKEMBANG
GEDOK WETAN,TUREN,0.9028999999999946,0.8666999999999966,0.5999999999999983,0.7898666666666632,MAJU
TALOK,TUREN,0.841899999999948,0.7555666666666276,0.6666999999999972,0.754722222222191,MAJU
TANGGUNG,TUREN,0.8380999999999383,0.6388999999998577,0.6666999999999972,0.7145666666665976,MAJU
JERU,TUREN,0.7885999999999945,0.5888999999998568,0.6666999999999972,0.6813999999999494,BERKEMBANG
PAGEDANGAN,TUREN,0.8190333333332837,0.6888999999998578,0.6666999999999972,0.724877777777713,MAJU
SANANKERTO,TUREN,0.8533333333332802,0.6499999999999989,0.6666999999999972,0.7233444444444256,MAJU
SANANREJO,TUREN,0.7962333333332448,0.6888999999998578,0.6666999999999972,0.7172777777776999,MAJU
KEDOK,TUREN,0.7580666666665332,0.6832999999999984,0.6666999999999972,0.7026888888888431,BERKEMBANG
TALANGSUKO,TUREN,0.8723999999999714,0.7555666666666276,0.5332999999999981,0.720422222222199,MAJU
TUMPUKRENTENG,TUREN,0.7771666666664857,0.5722000000000684,0.6666999999999972,0.6720222222221839,BERKEMBANG
NGINGIT,TUMPANG,0.7866333333332345,0.733299999999997,0.5999999999999983,0.70664444444441,BERKEMBANG
KIDAL,TUMPANG,0.9276333333332811,0.6832999999999984,0.5332999999999981,0.7147444444444258,MAJU
KAMBINGAN,TUMPANG,0.8475999999999849,0.5999999999999983,0.5999999999999983,0.6825333333333271,BERKEMBANG
PANDANAJENG,TUMPANG,0.8133333333332843,0.6277666666667009,0.6666999999999972,0.7025999999999941,BERKEMBANG
PULUNGDOWO,TUMPANG,0.8513999999999975,0.8332999999999954,0.8666999999999966,0.8504666666666632,MANDIRI
BOKOR,TUMPANG,0.8456999999999952,0.6388999999998577,0.6666999999999972,0.71709999999995,MAJU
SLAMET,TUMPANG,0.7542999999999981,0.6166999999999985,0.9111333333330472,0.7607111111110146,MAJU
WRINGINSONGO,TUMPANG,0.912366666666566,0.7444333333332614,0.7555666666661025,0.8041222222219767,MAJU
JERU,TUMPANG,0.8647333333332827,0.8222333333331892,0.6666999999999972,0.7845555555554897,MAJU
MALANGSUKO,TUMPANG,0.9200333333332216,0.7166999999999979,0.6666999999999972,0.7678111111110723,MAJU
TUMPANG,TUMPANG,0.9561999999999495,0.9388999999998543,0.9999999999999949,0.9650333333332662,MANDIRI
TULUSBESAR,TUMPANG,0.9124000000000105,0.6832999999999984,0.4666999999999999,0.6874666666666696,BERKEMBANG
DUWET,TUMPANG,0.9199999999999965,0.6499999999999989,0.5555333333331913,0.7085111111110622,BERKEMBANG
BENJOR,TUMPANG,0.729499999999974,0.6332999999999991,0.5999999999999983,0.6542666666666571,BERKEMBANG
DUWET KRAJAN,TUMPANG,0.7256999999999993,0.6832999999999984,0.6222333333331899,0.6770777777777292,BERKEMBANG
PUJIHARJO,TIRTOYUDO,0.8342999999999957,0.5999999999999983,0.9332999999999977,0.7891999999999973,MAJU
SUMBERTANGKIL,TIRTOYUDO,0.8799999999999978,0.5666999999999991,0.5999999999999983,0.6822333333333317,BERKEMBANG
KEPATIHAN,TIRTOYUDO,0.7333333333332102,0.4499999999999993,0.8666999999999966,0.683344444444402,BERKEMBANG
JOGOMULYAN,TIRTOYUDO,0.8342999999999957,0.5999999999999983,0.8666999999999966,0.7669999999999969,MAJU
TLOGOSARI,TIRTOYUDO,0.839999999999996,0.7832999999999991,0.733299999999997,0.7855333333333308,MAJU
TIRTOYUDO,TIRTOYUDO,0.900933333333272,0.5499999999999983,0.8666999999999966,0.7725444444444224,MAJU
SUKOREJO,TIRTOYUDO,0.8724000000000092,0.5499999999999983,0.5999999999999983,0.6741333333333351,BERKEMBANG
AMPELGADING,TIRTOYUDO,0.7485333333332584,0.677799999999926,0.7111000000001376,0.712477777777774,MAJU
TAMANKUNCARAN,TIRTOYUDO,0.8571333333332591,0.6666999999999972,0.6666999999999972,0.7301777777777513,MAJU
GADUNGSARI,TIRTOYUDO,0.9200333333332589,0.7222000000000663,0.755566666666945,0.7992666666667567,MAJU
WONOAGUNG,TIRTOYUDO,0.8742999999999984,0.6666999999999972,0.8666999999999966,0.8025666666666641,MAJU
TAMANSATRIYAN,TIRTOYUDO,0.899033333333282,0.6166999999999985,0.9332999999999977,0.8163444444444261,MANDIRI
PURWODADI,TIRTOYUDO,0.7770999999999963,0.5666999999999991,0.8666999999999966,0.7368333333333307,MAJU
GUNUNGSARI,TAJINAN,0.7866999999999734,0.7166999999999979,0.7999999999999992,0.7677999999999902,MAJU
GUNUNGRONGGO,TAJINAN,0.7828999999999974,0.6666999999999972,0.8666999999999966,0.772099999999997,MAJU
PURWOSEKAR,TAJINAN,0.8247333333332795,0.6332999999999991,0.7999999999999992,0.7526777777777592,MAJU
NGAWONGGO,TAJINAN,0.9370999999999983,0.7999999999999992,0.8888999999998543,0.8753333333332839,MANDIRI
PANDANMULYO,TAJINAN,0.8647999999999857,0.6999999999999977,0.9332999999999977,0.8326999999999938,MANDIRI
JATISARI,TAJINAN,0.8342666666665208,0.6499999999999989,0.7999999999999992,0.761422222222173,MAJU
TAJINAN,TAJINAN,0.8342999999999957,0.9332999999999977,0.5999999999999983,0.7891999999999971,MAJU
RANDUGADING,TAJINAN,0.853299999999984,0.6832999999999984,0.9332999999999977,0.8232999999999934,MANDIRI
JAMBEARJO,TAJINAN,0.8570999999999976,0.6499999999999989,0.6666999999999972,0.7245999999999979,MAJU
TANGKILSARI,TAJINAN,0.8228999999999971,0.6832999999999984,0.6666999999999972,0.7242999999999974,MAJU
SUMBERSUKO,TAJINAN,0.8056999999999994,0.6832999999999984,0.8666999999999966,0.7852333333333315,MAJU
TAMBAKASRI,TAJINAN,0.8456999999999952,0.8332999999999954,0.6666999999999972,0.7818999999999958,MAJU
TERNYANG,SUMBERPUCUNG,0.8476333333330294,0.7444333333329437,0.9111000000001369,0.8343888888887033,MANDIRI
SENGGRENG,SUMBERPUCUNG,0.8628333333330417,0.766699999999997,0.9777666666668047,0.8690999999999479,MANDIRI
SAMBIGEDE,SUMBERPUCUNG,0.8856999999999942,0.7888666666666297,0.8666999999999966,0.8470888888888735,MANDIRI
NGEBRUG,SUMBERPUCUNG,0.9104999999999468,0.8444666666664917,0.9777666666668047,0.9109111111110811,MANDIRI
JATIGUWI,SUMBERPUCUNG,0.9770999999999977,0.899966666666555,0.8666999999999966,0.9145888888888498,MANDIRI
